Transaction_ID,Configuration,Screen Size,Battery Life,RAM,Processor Speeds,Integrated Wireless,HD Size,Bundled Applications,Retail Price
239691,105,15,4,4,1.5,No,40,Yes,500.0
179814,151,15,5,1,1.5,Yes,300,Yes,329.0
106187,115,15,4,4,2.0,Yes,80,Yes,585.0
264796,116,15,4,4,2.0,Yes,80,No,
126852,370,15,6,2,2.4,Yes,40,No,500.0
11227,299,15,6,1,1.5,No,80,Yes,485.0
34985,8,15,4,1,1.5,Yes,300,No,420.0
17560,217,15,5,2,2.0,No,40,Yes,425.0
34978,344,15,6,2,1.5,Yes,300,No,550.0
286789,365,15,6,2,2.0,No,120,Yes,475.0
22799,165,15,5,1,2.0,Yes,120,Yes,465.0
221552,576,17,4,4,2.4,No,300,No,720.0
11705,209,15,5,2,2.0,Yes,40,Yes,455.0
30763,223,15,5,2,2.0,No,300,Yes,535.0
153750,491,17,4,2,1.5,No,80,Yes,510.0
127989,408,15,6,4,2.0,Yes,300,No,715.0
5459,173,15,5,1,2.0,No,120,Yes,455.0
160206,204,15,5,2,1.5,No,80,No,231.0
198719,612,17,5,1,2.4,Yes,80,No,510.0
103647,849,17,6,4,2.4,Yes,40,Yes,770.0
77046,495,17,4,2,1.5,No,300,Yes,610.0
174917,274,15,5,4,2.4,Yes,40,No,540.0
158714,737,17,6,1,2.0,Yes,40,Yes,406.0
168738,364,15,6,2,2.0,No,80,No,435.0
67728,268,15,5,4,2.0,No,80,No,535.0
231752,326,15,6,1,2.4,Yes,120,No,505.0
52627,89,15,4,2,2.4,No,40,Yes,450.0
120205,620,17,5,1,2.4,No,80,No,500.0
109086,612,17,5,1,2.4,Yes,80,No,520.0
25953,353,15,6,2,2.0,Yes,40,Yes,515.0
42028,425,15,6,4,2.4,No,40,Yes,650.0
210134,484,17,4,2,1.5,Yes,80,No,470.0
188349,30,15,4,1,2.0,No,120,No,340.0
213415,834,17,6,4,2.0,Yes,40,No,695.0
27083,6,15,4,1,1.5,Yes,120,No,365.0
11428,58,15,4,2,1.5,No,40,No,340.0
112099,257,15,5,4,2.0,Yes,40,Yes,565.0
175580,623,17,5,1,2.4,No,300,Yes,625.0
244843,31,15,4,1,2.0,No,300,Yes,445.0
257643,568,17,4,4,2.4,Yes,300,No,740.0
90523,227,15,5,2,2.4,Yes,80,Yes,520.0
249436,732,17,6,1,1.5,No,80,No,510.0
275099,724,17,6,1,1.5,Yes,80,No,530.0
45850,105,15,4,4,1.5,No,40,Yes,350.0
51196,19,15,4,1,2.0,Yes,80,Yes,410.0
184481,430,15,6,4,2.4,No,120,No,660.0
218719,171,15,5,1,2.0,No,80,Yes,385.0
211198,745,17,6,1,2.0,No,40,Yes,555.0
189913,236,15,5,2,2.4,No,80,No,420.0
146984,500,17,4,2,2.0,Yes,80,No,505.0
4386,291,15,6,1,1.5,Yes,80,Yes,510.0
67538,479,17,4,1,2.4,No,300,Yes,620.0
199343,456,17,4,1,2.0,Yes,300,No,545.0
71490,27,15,4,1,2.0,No,80,Yes,390.0
157807,90,15,4,2,2.4,No,40,No,259.0
107258,67,15,4,2,2.0,Yes,80,Yes,415.0
270829,50,15,4,2,1.5,Yes,40,No,260.0
242195,613,17,5,1,2.4,Yes,120,Yes,575.0
24959,173,15,5,1,2.0,No,120,Yes,440.0
216703,160,15,5,1,1.5,No,300,No,395.0
90325,571,17,4,4,2.4,No,80,Yes,690.0
197401,485,17,4,2,1.5,Yes,120,Yes,540.0
42708,292,15,6,1,1.5,Yes,80,No,435.0
223673,170,15,5,1,2.0,No,40,No,295.0
71977,278,15,5,4,2.4,Yes,120,No,600.0
92471,668,17,5,2,2.4,No,80,No,550.0
113753,442,17,4,1,1.5,No,40,No,390.0
223461,679,17,5,4,1.5,Yes,300,Yes,760.0
141317,360,15,6,2,2.0,Yes,300,No,545.0
293423,856,17,6,4,2.4,Yes,300,No,840.0
117211,321,15,6,1,2.4,Yes,40,Yes,510.0
168112,646,17,5,2,2.0,Yes,120,No,545.0
222351,63,15,4,2,1.5,No,300,Yes,420.0
223503,332,15,6,1,2.4,No,80,No,465.0
90786,623,17,5,1,2.4,No,300,Yes,635.0
3975,343,15,6,2,1.5,Yes,300,Yes,640.0
270328,600,17,5,1,2.0,Yes,300,No,
35155,163,15,5,1,2.0,Yes,80,Yes,435.0
35529,215,15,5,2,2.0,Yes,300,Yes,545.0
197297,852,17,6,4,2.4,Yes,80,No,760.0
152941,791,17,6,2,2.0,Yes,300,Yes,735.0
277502,331,15,6,1,2.4,No,80,Yes,357.0
225958,573,17,4,4,2.4,No,120,Yes,710.0
21381,63,15,4,2,1.5,No,300,Yes,500.0
25152,355,15,6,2,2.0,Yes,80,Yes,555.0
169910,124,15,4,4,2.0,No,80,No,
62410,104,15,4,4,1.5,Yes,300,No,413.0
16374,319,15,6,1,2.0,No,300,Yes,585.0
113002,737,17,6,1,2.0,Yes,40,Yes,585.0
263990,428,15,6,4,2.4,No,80,No,640.0
96858,510,17,4,2,2.0,No,120,No,525.0
30231,294,15,6,1,1.5,Yes,120,No,465.0
128331,362,15,6,2,2.0,No,40,No,405.0
37979,3,15,4,1,1.5,Yes,80,Yes,390.0
15009,364,15,6,2,2.0,No,80,No,505.0
80611,96,15,4,2,2.4,No,300,No,510.0
276606,705,17,5,4,2.4,Yes,40,Yes,690.0
289189,270,15,5,4,2.0,No,120,No,555.0
274481,183,15,5,1,2.4,Yes,300,Yes,530.0
237597,740,17,6,1,2.0,Yes,80,No,560.0
67990,385,15,6,4,1.5,Yes,40,Yes,434.0
291293,771,17,6,2,1.5,Yes,80,Yes,600.0
212401,498,17,4,2,2.0,Yes,40,No,455.0
2660,69,15,4,2,2.0,Yes,120,Yes,505.0
5118,343,15,6,2,1.5,Yes,300,Yes,640.0
274952,320,15,6,1,2.0,No,300,No,490.0
171243,13,15,4,1,1.5,No,120,Yes,259.0
131843,309,15,6,1,2.0,Yes,120,Yes,520.0
280227,389,15,6,4,1.5,Yes,120,Yes,476.0
98157,23,15,4,1,2.0,Yes,300,Yes,485.0
213959,627,17,5,2,1.5,Yes,80,Yes,540.0
48718,167,15,5,1,2.0,Yes,300,Yes,510.0
97539,328,15,6,1,2.4,Yes,300,No,585.0
107085,443,17,4,1,1.5,No,80,Yes,480.0
47317,682,17,5,4,1.5,No,40,No,570.0
291964,160,15,5,1,1.5,No,300,No,385.0
86891,823,17,6,4,1.5,Yes,300,Yes,840.0
190049,633,17,5,2,1.5,No,40,Yes,480.0
256327,376,15,6,2,2.4,Yes,300,No,406.0
142073,569,17,4,4,2.4,No,40,Yes,650.0
140050,39,15,4,1,2.4,Yes,300,Yes,530.0
88240,379,15,6,2,2.4,No,80,Yes,580.0
93035,141,15,4,4,2.4,No,120,Yes,610.0
66973,133,15,4,4,2.4,Yes,120,Yes,441.0
210391,205,15,5,2,1.5,No,120,Yes,390.0
8869,149,15,5,1,1.5,Yes,120,Yes,445.0
259024,479,17,4,1,2.4,No,300,Yes,590.0
270235,301,15,6,1,1.5,No,120,Yes,
159269,790,17,6,2,2.0,Yes,120,No,625.0
167242,279,15,5,4,2.4,Yes,300,Yes,710.0
94553,379,15,6,2,2.4,No,80,Yes,580.0
40016,798,17,6,2,2.0,No,120,No,
11658,292,15,6,1,1.5,Yes,80,No,455.0
108148,552,17,4,4,2.0,Yes,300,No,715.0
207903,51,15,4,2,1.5,Yes,80,Yes,370.0
296841,161,15,5,1,2.0,Yes,40,Yes,360.0
265610,45,15,4,1,2.4,No,120,Yes,301.0
141928,31,15,4,1,2.0,No,300,Yes,460.0
217462,521,17,4,2,2.4,No,40,Yes,500.0
168947,277,15,5,4,2.4,Yes,120,Yes,455.0
100066,125,15,4,4,2.0,No,120,Yes,585.0
22911,341,15,6,2,1.5,Yes,120,Yes,560.0
286890,328,15,6,1,2.4,Yes,300,No,392.0
112927,440,17,4,1,1.5,Yes,300,No,530.0
84188,86,15,4,2,2.4,Yes,120,No,470.0
78608,55,15,4,2,1.5,Yes,300,Yes,480.0
251655,665,17,5,2,2.4,No,40,Yes,357.0
66668,79,15,4,2,2.0,No,300,Yes,495.0
27528,308,15,6,1,2.0,Yes,80,No,470.0
150245,198,15,5,2,1.5,Yes,120,No,259.0
111728,182,15,5,1,2.4,Yes,120,No,440.0
193154,301,15,6,1,1.5,No,120,Yes,465.0
102120,85,15,4,2,2.4,Yes,120,Yes,520.0
105874,337,15,6,2,1.5,Yes,40,Yes,450.0
92931,730,17,6,1,1.5,No,40,No,495.0
195767,541,17,4,4,1.5,No,120,Yes,660.0
180931,392,15,6,4,1.5,Yes,300,No,690.0
194654,545,17,4,4,2.0,Yes,40,Yes,645.0
26619,291,15,6,1,1.5,Yes,80,Yes,495.0
55405,243,15,5,4,1.5,Yes,80,Yes,580.0
83418,589,17,5,1,1.5,No,120,Yes,525.0
235096,656,17,5,2,2.0,No,300,No,565.0
175328,505,17,4,2,2.0,No,40,Yes,495.0
166866,24,15,4,1,2.0,Yes,300,No,425.0
582,346,15,6,2,1.5,No,40,No,450.0
244943,830,17,6,4,1.5,No,120,No,710.0
241845,582,17,5,1,1.5,Yes,120,No,475.0
290605,224,15,5,2,2.0,No,300,No,405.0
176508,470,17,4,1,2.4,Yes,120,No,515.0
263895,53,15,4,2,1.5,Yes,120,Yes,259.0
101231,193,15,5,2,1.5,Yes,40,Yes,380.0
199148,275,15,5,4,2.4,Yes,80,Yes,630.0
129251,279,15,5,4,2.4,Yes,300,Yes,710.0
282400,75,15,4,2,2.0,No,80,Yes,355.0
249498,309,15,6,1,2.0,Yes,120,Yes,505.0
270283,56,15,4,2,1.5,Yes,300,No,380.0
218060,355,15,6,2,2.0,Yes,80,Yes,485.0
72998,37,15,4,1,2.4,Yes,120,Yes,475.0
231636,435,17,4,1,1.5,Yes,80,Yes,485.0
201776,417,15,6,4,2.4,Yes,40,Yes,670.0
230776,629,17,5,2,1.5,Yes,120,Yes,550.0
186737,251,15,5,4,1.5,No,80,Yes,560.0
251441,483,17,4,2,1.5,Yes,80,Yes,350.0
143373,231,15,5,2,2.4,Yes,300,Yes,580.0
31353,210,15,5,2,2.0,Yes,40,No,375.0
65197,596,17,5,1,2.0,Yes,80,No,505.0
68411,149,15,5,1,1.5,Yes,120,Yes,
54542,183,15,5,1,2.4,Yes,300,Yes,560.0
130731,47,15,4,1,2.4,No,300,Yes,510.0
100248,831,17,6,4,1.5,No,300,Yes,820.0
134586,228,15,5,2,2.4,Yes,80,No,460.0
141499,739,17,6,1,2.0,Yes,80,Yes,620.0
162312,813,17,6,2,2.4,No,120,Yes,680.0
204641,78,15,4,2,2.0,No,120,No,345.0
35862,337,15,6,2,1.5,Yes,40,Yes,480.0
79764,106,15,4,4,1.5,No,40,No,450.0
34809,318,15,6,1,2.0,No,120,No,465.0
289622,110,15,4,4,1.5,No,120,No,510.0
80045,459,17,4,1,2.0,No,80,Yes,510.0
101636,593,17,5,1,2.0,Yes,40,Yes,510.0
190816,637,17,5,2,1.5,No,120,Yes,540.0
257326,652,17,5,2,2.0,No,80,No,475.0
182204,35,15,4,1,2.4,Yes,80,Yes,440.0
297021,85,15,4,2,2.4,Yes,120,Yes,470.0
75250,202,15,5,2,1.5,No,40,No,310.0
147435,830,17,6,4,1.5,No,120,No,710.0
30359,221,15,5,2,2.0,No,120,Yes,475.0
21548,173,15,5,1,2.0,No,120,Yes,
74013,273,15,5,4,2.4,Yes,40,Yes,590.0
81091,521,17,4,2,2.4,No,40,Yes,540.0
102701,491,17,4,2,1.5,No,80,Yes,530.0
233358,151,15,5,1,1.5,Yes,300,Yes,460.0
236516,197,15,5,2,1.5,Yes,120,Yes,400.0
134265,31,15,4,1,2.0,No,300,Yes,460.0
60295,116,15,4,4,2.0,Yes,80,No,535.0
221278,361,15,6,2,2.0,No,40,Yes,425.0
59034,513,17,4,2,2.4,Yes,40,Yes,399.0
252858,407,15,6,4,2.0,Yes,300,Yes,
46285,271,15,5,4,2.0,No,300,Yes,665.0
11393,168,15,5,1,2.0,Yes,300,No,480.0
181744,198,15,5,2,1.5,Yes,120,No,370.0
253110,433,17,4,1,1.5,Yes,40,Yes,440.0
341,14,15,4,1,1.5,No,120,No,360.0
69591,265,15,5,4,2.0,No,40,Yes,
243680,617,17,5,1,2.4,No,40,Yes,495.0
215213,251,15,5,4,1.5,No,80,Yes,560.0
167614,319,15,6,1,2.0,No,300,Yes,
251870,316,15,6,1,2.0,No,80,No,287.0
156106,73,15,4,2,2.0,No,40,Yes,345.0
140678,176,15,5,1,2.0,No,300,No,430.0
163058,349,15,6,2,1.5,No,120,Yes,336.0
24384,208,15,5,2,1.5,No,300,No,460.0
293241,165,15,5,1,2.0,Yes,120,Yes,294.0
115104,484,17,4,2,1.5,Yes,80,No,490.0
57198,353,15,6,2,2.0,Yes,40,Yes,495.0
60789,203,15,5,2,1.5,No,80,Yes,287.0
131808,854,17,6,4,2.4,Yes,120,No,780.0
114538,499,17,4,2,2.0,Yes,80,Yes,565.0
135499,786,17,6,2,2.0,Yes,40,No,575.0
91898,662,17,5,2,2.4,Yes,120,No,590.0
149839,330,15,6,1,2.4,No,40,No,435.0
84560,139,15,4,4,2.4,No,80,Yes,590.0
272165,616,17,5,1,2.4,Yes,300,No,580.0
149965,544,17,4,4,1.5,No,300,No,670.0
238917,474,17,4,1,2.4,No,40,No,425.0
61225,97,15,4,4,1.5,Yes,40,Yes,520.0
46851,431,15,6,4,2.4,No,300,Yes,770.0
152886,316,15,6,1,2.0,No,80,No,425.0
192929,726,17,6,1,1.5,Yes,120,No,560.0
140154,454,17,4,1,2.0,Yes,120,No,495.0
101325,623,17,5,1,2.4,No,300,Yes,635.0
264799,69,15,4,2,2.0,Yes,120,Yes,395.0
137994,214,15,5,2,2.0,Yes,120,No,405.0
291366,416,15,6,4,2.0,No,300,No,695.0
124724,669,17,5,2,2.4,No,120,Yes,610.0
19369,303,15,6,1,1.5,No,300,Yes,392.0
272421,48,15,4,1,2.4,No,300,No,308.0
108459,732,17,6,1,1.5,No,80,No,530.0
107407,489,17,4,2,1.5,No,40,Yes,480.0
199384,758,17,6,1,2.4,Yes,120,No,610.0
284476,437,17,4,1,1.5,Yes,120,Yes,350.0
3661,198,15,5,2,1.5,Yes,120,No,450.0
71975,315,15,6,1,2.0,No,80,Yes,485.0
232328,253,15,5,4,1.5,No,120,Yes,580.0
161684,534,17,4,4,1.5,Yes,120,No,630.0
21989,352,15,6,2,1.5,No,300,No,550.0
36882,360,15,6,2,2.0,Yes,300,No,575.0
120926,827,17,6,4,1.5,No,80,Yes,740.0
268584,71,15,4,2,2.0,Yes,300,Yes,455.0
18954,150,15,5,1,1.5,Yes,120,No,273.0
283222,171,15,5,1,2.0,No,80,Yes,266.0
25367,338,15,6,2,1.5,Yes,40,No,440.0
189234,150,15,5,1,1.5,Yes,120,No,355.0
208347,280,15,5,4,2.4,Yes,300,No,660.0
48371,275,15,5,4,2.4,Yes,80,Yes,441.0
286083,180,15,5,1,2.4,Yes,80,No,400.0
273795,666,17,5,2,2.4,No,40,No,322.0
13794,311,15,6,1,2.0,Yes,300,Yes,610.0
78966,856,17,6,4,2.4,Yes,300,No,840.0
233843,476,17,4,1,2.4,No,80,No,465.0
139571,176,15,5,1,2.0,No,300,No,430.0
16878,61,15,4,2,1.5,No,120,Yes,440.0
47736,213,15,5,2,2.0,Yes,120,Yes,475.0
243440,551,17,4,4,2.0,Yes,300,Yes,765.0
119811,840,17,6,4,2.0,Yes,300,No,815.0
168031,497,17,4,2,2.0,Yes,40,Yes,515.0
267284,581,17,5,1,1.5,Yes,120,Yes,364.0
237288,510,17,4,2,2.0,No,120,No,485.0
221847,97,15,4,4,1.5,Yes,40,Yes,520.0
217244,108,15,4,4,1.5,No,80,No,490.0
133287,564,17,4,4,2.4,Yes,80,No,660.0
264337,314,15,6,1,2.0,No,40,No,370.0
77199,455,17,4,1,2.0,Yes,300,Yes,610.0
132487,769,17,6,2,1.5,Yes,40,Yes,600.0
246632,500,17,4,2,2.0,Yes,80,No,485.0
167392,64,15,4,2,1.5,No,300,No,390.0
294907,362,15,6,2,2.0,No,40,No,365.0
179696,446,17,4,1,1.5,No,120,No,445.0
209357,464,17,4,1,2.0,No,300,No,525.0
217338,134,15,4,4,2.4,Yes,120,No,580.0
110987,152,15,5,1,1.5,Yes,300,No,425.0
70678,325,15,6,1,2.4,Yes,120,Yes,580.0
231294,53,15,4,2,1.5,Yes,120,Yes,380.0
85193,861,17,6,4,2.4,No,120,Yes,810.0
223681,248,15,5,4,1.5,Yes,300,No,610.0
279096,577,17,5,1,1.5,Yes,40,Yes,460.0
287940,15,15,4,1,1.5,No,300,Yes,415.0
3834,161,15,5,1,2.0,Yes,40,Yes,415.0
215252,604,17,5,1,2.0,No,80,No,465.0
198316,214,15,5,2,2.0,Yes,120,No,385.0
18813,80,15,4,2,2.0,No,300,No,
137862,529,17,4,4,1.5,Yes,40,Yes,620.0
10715,16,15,4,1,1.5,No,300,No,415.0
294582,137,15,4,4,2.4,No,40,Yes,385.0
70953,139,15,4,4,2.4,No,80,Yes,590.0
198920,463,17,4,1,2.0,No,300,Yes,575.0
278714,739,17,6,1,2.0,Yes,80,Yes,605.0
222521,463,17,4,1,2.0,No,300,Yes,570.0
173356,604,17,5,1,2.0,No,80,No,470.0
51980,89,15,4,2,2.4,No,40,Yes,315.0
48692,82,15,4,2,2.4,Yes,40,No,294.0
266939,682,17,5,4,1.5,No,40,No,570.0
110293,614,17,5,1,2.4,Yes,120,No,540.0
127850,631,17,5,2,1.5,Yes,300,Yes,640.0
183246,839,17,6,4,2.0,Yes,300,Yes,865.0
104873,653,17,5,2,2.0,No,120,Yes,585.0
6716,320,15,6,1,2.0,No,300,No,545.0
251062,54,15,4,2,1.5,Yes,120,No,320.0
266972,568,17,4,4,2.4,Yes,300,No,740.0
38933,356,15,6,2,2.0,Yes,80,No,495.0
80407,642,17,5,2,2.0,Yes,40,No,505.0
165216,370,15,6,2,2.4,Yes,40,No,490.0
112750,240,15,5,2,2.4,No,300,No,520.0
135821,484,17,4,2,1.5,Yes,80,No,490.0
275611,534,17,4,4,1.5,Yes,120,No,441.0
81376,77,15,4,2,2.0,No,120,Yes,425.0
197427,157,15,5,1,1.5,No,120,Yes,385.0
66493,435,17,4,1,1.5,Yes,80,Yes,510.0
214624,71,15,4,2,2.0,Yes,300,Yes,475.0
238548,597,17,5,1,2.0,Yes,120,Yes,550.0
108853,164,15,5,1,2.0,Yes,80,No,370.0
268012,7,15,4,1,1.5,Yes,300,Yes,435.0
73911,520,17,4,2,2.4,Yes,300,No,630.0
186221,859,17,6,4,2.4,No,80,Yes,790.0
198621,149,15,5,1,1.5,Yes,120,Yes,405.0
279992,306,15,6,1,2.0,Yes,40,No,390.0
285181,173,15,5,1,2.0,No,120,Yes,280.0
105899,772,17,6,2,1.5,Yes,80,No,590.0
191033,656,17,5,2,2.0,No,300,No,575.0
181308,463,17,4,1,2.0,No,300,Yes,580.0
264304,394,15,6,4,1.5,No,40,No,550.0
136208,274,15,5,4,2.4,Yes,40,No,540.0
122927,403,15,6,4,2.0,Yes,80,Yes,685.0
177856,304,15,6,1,1.5,No,300,No,336.0
63881,338,15,6,2,1.5,Yes,40,No,420.0
286979,442,17,4,1,1.5,No,40,No,370.0
39970,337,15,6,2,1.5,Yes,40,Yes,470.0
270766,597,17,5,1,2.0,Yes,120,Yes,545.0
201465,147,15,5,1,1.5,Yes,80,Yes,385.0
272079,666,17,5,2,2.4,No,40,No,460.0
98931,728,17,6,1,1.5,Yes,300,No,635.0
219370,236,15,5,2,2.4,No,80,No,410.0
61049,304,15,6,1,1.5,No,300,No,495.0
118024,662,17,5,2,2.4,Yes,120,No,580.0
207351,460,17,4,1,2.0,No,80,No,445.0
270728,448,17,4,1,1.5,No,300,No,343.0
166000,461,17,4,1,2.0,No,120,Yes,520.0
46397,560,17,4,4,2.0,No,300,No,
71543,77,15,4,2,2.0,No,120,Yes,435.0
152411,509,17,4,2,2.0,No,120,Yes,555.0
5809,152,15,5,1,1.5,Yes,300,No,460.0
255128,758,17,6,1,2.4,Yes,120,No,600.0
241572,488,17,4,2,1.5,Yes,300,No,540.0
172808,790,17,6,2,2.0,Yes,120,No,625.0
80789,514,17,4,2,2.4,Yes,40,No,510.0
558,61,15,4,2,1.5,No,120,Yes,460.0
78560,90,15,4,2,2.4,No,40,No,390.0
137702,349,15,6,2,1.5,No,120,Yes,490.0
137594,758,17,6,1,2.4,Yes,120,No,620.0
175594,260,15,5,4,2.0,Yes,80,No,555.0
101758,343,15,6,2,1.5,Yes,300,Yes,580.0
185740,377,15,6,2,2.4,No,40,Yes,510.0
204479,309,15,6,1,2.0,Yes,120,Yes,510.0
45148,236,15,5,2,2.4,No,80,No,322.0
166423,140,15,4,4,2.4,No,80,No,540.0
11878,168,15,5,1,2.0,Yes,300,No,480.0
70487,187,15,5,1,2.4,No,80,Yes,460.0
63952,437,17,4,1,1.5,Yes,120,Yes,530.0
57125,843,17,6,4,2.0,No,80,Yes,
273295,51,15,4,2,1.5,Yes,80,Yes,350.0
29585,219,15,5,2,2.0,No,80,Yes,455.0
138935,366,15,6,2,2.0,No,120,No,465.0
263778,82,15,4,2,2.4,Yes,40,No,360.0
90456,348,15,6,2,1.5,No,80,No,430.0
178426,566,17,4,4,2.4,Yes,120,No,680.0
40096,289,15,6,1,1.5,Yes,40,Yes,445.0
6886,200,15,5,2,1.5,Yes,300,No,510.0
100555,249,15,5,4,1.5,No,40,Yes,520.0
19230,146,15,5,1,1.5,Yes,40,No,231.0
194781,243,15,5,4,1.5,Yes,80,Yes,580.0
274276,213,15,5,2,2.0,Yes,120,Yes,415.0
62477,585,17,5,1,1.5,No,40,Yes,329.0
154268,239,15,5,2,2.4,No,300,Yes,392.0
176333,174,15,5,1,2.0,No,120,No,365.0
196646,678,17,5,4,1.5,Yes,120,No,650.0
263952,228,15,5,2,2.4,Yes,80,No,420.0
26614,175,15,5,1,2.0,No,300,Yes,500.0
110519,776,17,6,2,1.5,Yes,300,No,670.0
159272,175,15,5,1,2.0,No,300,Yes,475.0
36049,342,15,6,2,1.5,Yes,120,No,490.0
151509,220,15,5,2,2.0,No,80,No,355.0
35776,293,15,6,1,1.5,Yes,120,Yes,510.0
104949,590,17,5,1,1.5,No,120,No,470.0
178560,539,17,4,4,1.5,No,80,Yes,448.0
127921,61,15,4,2,1.5,No,120,Yes,390.0
247725,153,15,5,1,1.5,No,40,Yes,320.0
126190,713,17,5,4,2.4,No,40,Yes,670.0
273396,203,15,5,2,1.5,No,80,Yes,350.0
105659,381,15,6,2,2.4,No,120,Yes,590.0
31622,56,15,4,2,1.5,Yes,300,No,450.0
169766,720,17,5,4,2.4,No,300,No,518.0
72289,818,17,6,4,1.5,Yes,40,No,670.0
136447,232,15,5,2,2.4,Yes,300,No,540.0
296381,454,17,4,1,2.0,Yes,120,No,
46959,309,15,6,1,2.0,Yes,120,Yes,530.0
261428,361,15,6,2,2.0,No,40,Yes,415.0
122209,218,15,5,2,2.0,No,40,No,325.0
131365,433,17,4,1,1.5,Yes,40,Yes,460.0
73628,579,17,5,1,1.5,Yes,80,Yes,525.0
206420,161,15,5,1,2.0,Yes,40,Yes,370.0
25555,320,15,6,1,2.0,No,300,No,530.0
150658,53,15,4,2,1.5,Yes,120,Yes,280.0
65548,574,17,4,4,2.4,No,120,No,462.0
177429,232,15,5,2,2.4,Yes,300,No,371.0
223577,244,15,5,4,1.5,Yes,80,No,530.0
258177,634,17,5,2,1.5,No,40,No,410.0
